game_id;boardgame;avg_rating;num_ratings;complexity;wishlisted;total_plays;amazon_price;url;description;player_id;playtime_id
44;Hegemony: Lead Your Class to Victory;8.418;10200;4.23;6263;21437;75.04;https://boardgamegeek.com/boardgame/321608/hegemony-lead-your-class-to-victory;Simulate a whole contemporary nation in this asymmetric, politico-economic euro-game.;1;17
45;Heat: Pedal to the Metal;8.014;34442;2.2;13709;202523;60.0;https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal;Push your car to the limit in the pursuit of victory, but don’t overheat!;20;29
46;Marvel Champions: The Card Game;8.113;26377;2.95;6084;586345;48.99;https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game;Battle Marvel villains with unique teams of iconic heroes in this LCG.;3;28
47;Crokinole;8.055;20033;1.22;6710;240174;108.99;https://boardgamegeek.com/boardgame/521/crokinole;Flick discs and make trick shots in this traditional Canadian dexterity game!;21;16
48;Kanban EV;8.39;9280;4.3;5935;23415;119.99;https://boardgamegeek.com/boardgame/284378/kanban-ev;EV-factory workers optimize and innovate to stand out at the big board meeting.;3;30
49;Food Chain Magnate;8.042;22035;4.19;10444;56312;NULL;https://boardgamegeek.com/boardgame/175914/food-chain-magnate;Strategically hire and manage your workforce to outcompete rival fast food chains.;22;31
50;Underwater Cities;8.045;21742;3.58;8272;83875;59.43;https://boardgamegeek.com/boardgame/247763/underwater-cities;Develop future cities on the seafloor through politics, production, and science.;8;32
51;Pax Pamir: Second Edition;8.141;16378;3.85;6638;66228;71.84;https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition;"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.";23;33
52;Puerto Rico;7.903;73039;3.27;9942;203385;49.1;https://boardgamegeek.com/boardgame/3076/puerto-rico;Ship goods, construct buildings, and choose roles that benefit you more than others.;24;3
53;Cthulhu: Death May Die;8.189;15461;2.49;7619;65624;NULL;https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die;Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.;12;8
54;Cascadia;7.913;49310;1.85;14360;313960;37.77;https://boardgamegeek.com/boardgame/295947/cascadia;Create the most harmonious ecosystem as you puzzle together habitats and wildlife.;19;20
55;On Mars;8.17;14075;4.63;8235;37172;111.99;https://boardgamegeek.com/boardgame/184267/on-mars;Be a part of the first Martian colony, striving to be the best contributor.;3;3
56;Pandemic Legacy: Season 0;8.355;8931;3.17;4083;65426;71.99;https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0;Work together during the Cold War to prevent a Soviet bio-threat.;1;34
57;Caverna: The Cave Farmers;7.931;36490;3.77;11841;91194;NULL;https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers;From a simple cave, expand your dwarven home through mining, agriculture, and more.;25;35
58;Anachrony;8.053;20568;4.0;8691;54734;NULL;https://boardgamegeek.com/boardgame/185343/anachrony;Use Exosuits & time travel to ensure your vision for the future after the cataclysm.;26;9
59;Age of Innovation;8.519;7097;4.26;4068;23254;89.99;https://boardgamegeek.com/boardgame/383179/age-of-innovation;Terraform the world to expand your faction and create innovations on the way.;12;36
60;Blood Rage;7.908;50172;2.88;13905;111089;89.99;https://boardgamegeek.com/boardgame/170216/blood-rage;Ragnarök has come! Secure your place in Valhalla in epic Viking battles.;1;19
61;Agricola;7.864;75296;3.63;12759;287734;57.19;https://boardgamegeek.com/boardgame/31260/agricola;Build your farmstead by sowing fields and raising livestock. But don't forget to eat!;5;24
62;Oathsworn: Into the Deepwood;8.822;6184;3.69;5920;36018;349.99;https://boardgamegeek.com/boardgame/251661/oathsworn-into-the-deepwood;Fight for humanity's survival against unnatural horrors and the Deepwood itself.;3;12
63;Lisboa;8.174;12245;4.57;6563;31222;119.99;https://boardgamegeek.com/boardgame/161533/lisboa;Compete to reconstruct the city of Lisboa after the great earthquake of 1755.;8;1
64;Sleeping Gods;8.13;14625;3.25;16367;46850;82.95;https://boardgamegeek.com/boardgame/255984/sleeping-gods;"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea.";7;1
65;Obsession;8.091;16030;3.1;8544;86938;NULL;https://boardgamegeek.com/boardgame/231733/obsession;Renovate an estate, manage servants, and pursue romance in Victorian England.;3;12
66;Grand Austria Hotel;7.958;23513;3.2;6886;116284;58.99;https://boardgamegeek.com/boardgame/182874/grand-austria-hotel;Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.;10;1
67;Pandemic Legacy: Season 2;8.019;17815;3.25;4775;128707;79.99;https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2;The world is a mystery after a devastating pandemic—where will your team go?;1;2
68;Clank!: Catacombs;8.25;10545;2.5;5632;40883;66.0;https://boardgamegeek.com/boardgame/365717/clank-catacombs;Deck-building adventure meets tile-laying in the newest incarnation of Clank!;2;28
69;Mansions of Madness: Second Edition;7.925;38945;2.7;13456;100296;87.99;https://boardgamegeek.com/boardgame/205059/mansions-of-madness-second-edition;Cling to your sanity as you investigate Lovecraftian horrors.;12;11
70;Tzolk'in: The Mayan Calendar;7.85;41310;3.66;9529;131173;59.95;https://boardgamegeek.com/boardgame/126163/tzolkin-the-mayan-calendar;Lead your people, build monuments and make offerings to earn the favour of the gods.;2;23
71;Power Grid;7.801;68031;3.25;12104;162101;41.57;https://boardgamegeek.com/boardgame/2651/power-grid;Bid, network, and manage resources in a race to supply the most cities with power.;27;5
72;Harmonies;8.026;19928;2.0;8135;195924;34.99;https://boardgamegeek.com/boardgame/414317/harmonies;Create your own landscape and habitats to welcome animals.;19;20
73;Quacks;7.808;55795;1.94;12458;278155;90.0;https://boardgamegeek.com/boardgame/244521/quacks;Pull ingredients from your stock to make your pot bubble, but hopefully not explode!;28;37
74;Ticket to Ride Legacy: Legends of the West;8.669;5283;2.58;3587;61837;110.58;https://boardgamegeek.com/boardgame/390092/ticket-to-ride-legacy-legends-of-the-west;Build train lines across the United States in a twelve-game campaign.;18;38
75;Clans of Caledonia;7.935;21632;3.47;7316;78459;NULL;https://boardgamegeek.com/boardgame/216132/clans-of-caledonia;Lead your unique Scottish clan to economic might via production, trade, and export.;8;9
76;Paladins of the West Kingdom;7.964;19579;3.71;6224;59250;52.44;https://boardgamegeek.com/boardgame/266810/paladins-of-the-west-kingdom;Invaders are coming from everywhere. Keep the faith and defend your homeland.;8;8
77;The Gallerist;8.012;15837;4.22;6646;38541;103.99;https://boardgamegeek.com/boardgame/125153/the-gallerist;Amass a fortune, and stake your reputation by operating a lucrative art gallery.;7;10
78;Le Havre;7.838;33111;3.71;9953;89248;72.99;https://boardgamegeek.com/boardgame/35677/le-havre;Establish a supply chain by collecting resources, building industries, and shipping.;5;24
79;Maracaibo;7.969;17965;3.91;6562;71304;73.74;https://boardgamegeek.com/boardgame/276025/maracaibo;Seafarers journey to obtain wealth and fame in the 17th century Caribbean.;8;9
80;Star Wars: Imperial Assault;7.958;25476;3.3;7448;96859;89.97;https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault;Play as Rebel or Imperial forces to fulfill mission objectives.;22;1
81;Android: Netrunner;7.89;30934;3.41;5837;353165;NULL;https://boardgamegeek.com/boardgame/124742/android-netrunner;Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.;29;37
82;The White Castle;7.994;17762;3.04;6505;100767;NULL;https://boardgamegeek.com/boardgame/371942/the-white-castle;Become the most influential clan in Japan's Himeji stronghold.;8;39
83;Agricola (Revised Edition);7.955;20081;3.44;3920;66565;55.25;https://boardgamegeek.com/boardgame/200680/agricola-revised-edition;Help your farm to prosper in this updated, streamlined edition of the acclaimed game.;8;9
84;Mechs vs. Minions;7.96;18015;2.46;8322;67984;NULL;https://boardgamegeek.com/boardgame/209010/mechs-vs-minions;Cooperatively program and pilot your mechs to defeat an army of marauding minions.;1;1
85;The Crew: The Quest for Planet Nine;7.771;46164;1.96;5952;620042;15.95;https://boardgamegeek.com/boardgame/284083/the-crew-the-quest-for-planet-nine;Cooperate with your fellow astronauts as you explore the outer solar system.;18;21
86;Kingdom Death: Monster;8.479;10138;4.27;7352;56569;979.98;https://boardgamegeek.com/boardgame/55690/kingdom-death-monster;Try to survive in a nightmarish world that lies under eternal darkness.;30;30
87;Blood on the Clocktower;8.371;8921;3.05;5944;103136;NULL;https://boardgamegeek.com/boardgame/240980/blood-on-the-clocktower;Deduce who the Demon is through logic and bluffing. Dead players still play.;31;9
88;Race for the Galaxy;7.739;57711;2.99;11309;761848;26.92;https://boardgamegeek.com/boardgame/28143/race-for-the-galaxy;Worlds await! Colonize, develop and conquer, taking advantage of others' choices.;10;29
89;Great Western Trail: New Zealand;8.501;5701;4.0;2262;17510;59.99;https://boardgamegeek.com/boardgame/380607/great-western-trail-new-zealand;Tend to your sheep on the South Island of New Zealand.;8;13
90;Azul;7.726;101682;1.77;15351;817173;34.97;https://boardgamegeek.com/boardgame/230802/azul;Artfully embellish the walls of your palace by drafting the most beautiful tiles.;21;20
91;Revive;8.098;10959;3.45;6289;47081;79.99;https://boardgamegeek.com/boardgame/332772/revive;Revive civilization, 5000 years after the fall of humankind.;3;8
92;Five Tribes: The Djinns of Naqala;7.767;43952;2.84;11403;137345;NULL;https://boardgamegeek.com/boardgame/157354/five-tribes-the-djinns-of-naqala;Move assassins, elders & builders through Naqala to claim oases & control djinns.;2;27
93;Darwin's Journey;8.116;10467;3.9;4691;43869;51.0;https://boardgamegeek.com/boardgame/322289/darwins-journey;Retrace Darwin’s journey to the Galapagos in a worker-placement adventure.;3;1
94;Clank!: A Deck-Building Adventure;7.768;45619;2.23;12191;169240;NULL;https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure;Claim your treasures but don't attract the dragon in this deck-building dungeon race.;10;29
95;Fields of Arle;8.031;11925;3.85;6258;37500;84.99;https://boardgamegeek.com/boardgame/159675/fields-of-arle;Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.;32;1
96;Wingspan Asia;8.236;8661;2.67;3403;25598;45.0;https://boardgamegeek.com/boardgame/366161/wingspan-asia;Travel to Asia to discover new birds for your wildlife preserve.;33;22
