row_id,boardgame,min_players,max_players,min_playtime,max_playtime,minimum_age,avg_rating,num_ratings,complexity,wishlisted,total_plays,amazon_price,categories,url,description
46,Marvel Champions: The Card Game,1,4,45,90,14,8.113,26377,2.95,6084,586345,48.99,Card Game; Collectible Components; Comic Book / Strip; Fighting,https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game,Battle Marvel villains with unique teams of iconic heroes in this LCG.
47,Crokinole,2,4,30,30,8,8.055,20033,1.22,6710,240174,108.99,Action / Dexterity,https://boardgamegeek.com/boardgame/521/crokinole,Flick discs and make trick shots in this traditional Canadian dexterity game!
48,Kanban EV,1,4,60,180,14,8.39,9280,4.3,5935,23415,119.99,Economic; Industry / Manufacturing,https://boardgamegeek.com/boardgame/284378/kanban-ev,EV-factory workers optimize and innovate to stand out at the big board meeting.
49,Food Chain Magnate,2,5,120,240,14,8.042,22035,4.19,10444,56312,,Economic; Industry / Manufacturing,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,Strategically hire and manage your workforce to outcompete rival fast food chains.
50,Underwater Cities,1,4,80,150,12,8.045,21742,3.58,8272,83875,59.43,Card Game; City Building; Industry / Manufacturing; Nautical; Science Fiction,https://boardgamegeek.com/boardgame/247763/underwater-cities,"Develop future cities on the seafloor through politics, production, and science."
51,Pax Pamir: Second Edition,1,5,45,120,13,8.141,16378,3.85,6638,66228,71.84,Economic; Educational; Negotiation; Political; Post-Napoleonic; Spies / Secret Agents,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan."
52,Puerto Rico,3,5,90,150,12,7.903,73039,3.27,9942,203385,49.1,City Building; Economic; Farming,https://boardgamegeek.com/boardgame/3076/puerto-rico,"Ship goods, construct buildings, and choose roles that benefit you more than others."
53,Cthulhu: Death May Die,1,5,90,120,14,8.189,15461,2.49,7619,65624,,Fantasy; Fighting; Horror; Miniatures; Novel-based,https://boardgamegeek.com/boardgame/253344/cthulhu-death-may-die,Disrupt the ritual and slay the Elder Gods in this co-op dice chucker.
54,Cascadia,1,4,30,45,10,7.913,49310,1.85,14360,313960,37.77,Animals; Environmental,https://boardgamegeek.com/boardgame/295947/cascadia,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.
55,On Mars,1,4,90,150,14,8.17,14075,4.63,8235,37172,111.99,City Building; Economic; Exploration; Science Fiction; Space Exploration; Territory Building,https://boardgamegeek.com/boardgame/184267/on-mars,"Be a part of the first Martian colony, striving to be the best contributor."
56,Pandemic Legacy: Season 0,2,4,45,60,14,8.355,8931,3.17,4083,65426,71.99,Medical; Spies / Secret Agents,https://boardgamegeek.com/boardgame/314040/pandemic-legacy-season-0,Work together during the Cold War to prevent a Soviet bio-threat.
57,Caverna: The Cave Farmers,1,7,30,210,12,7.931,36490,3.77,11841,91194,,Animals; Economic; Fantasy; Farming,https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers,"From a simple cave, expand your dwarven home through mining, agriculture, and more."
58,Anachrony,1,4,30,120,15,8.053,20568,4.0,8691,54734,,Economic; Science Fiction,https://boardgamegeek.com/boardgame/185343/anachrony,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.
59,Age of Innovation,1,5,40,200,14,8.519,7097,4.26,4068,23254,89.99,Civilization; Economic; Fantasy; Territory Building,https://boardgamegeek.com/boardgame/383179/age-of-innovation,Terraform the world to expand your faction and create innovations on the way.
60,Blood Rage,2,4,60,90,14,7.908,50172,2.88,13905,111089,89.99,Fantasy; Fighting; Mythology,https://boardgamegeek.com/boardgame/170216/blood-rage,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.
61,Agricola,1,5,30,150,12,7.864,75296,3.63,12759,287734,57.19,Animals; Economic; Farming,https://boardgamegeek.com/boardgame/31260/agricola,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!
62,Oathsworn: Into the Deepwood,1,4,30,90,14,8.822,6184,3.69,5920,36018,349.99,Adventure; Card Game; Dice; Exploration; Fantasy; Fighting; Miniatures; Mythology; Puzzle,https://boardgamegeek.com/boardgame/251661/oathsworn-into-the-deepwood,Fight for humanity's survival against unnatural horrors and the Deepwood itself.
63,Lisboa,1,4,60,120,12,8.174,12245,4.57,6563,31222,119.99,City Building; Economic; Industry / Manufacturing; Political,https://boardgamegeek.com/boardgame/161533/lisboa,Compete to reconstruct the city of Lisboa after the great earthquake of 1755.
64,Sleeping Gods,1,4,60,120,13,8.13,14625,3.25,16367,46850,82.95,Adventure; Exploration; Fantasy; Fighting; Nautical,https://boardgamegeek.com/boardgame/255984/sleeping-gods,"Voyages of the steamship ""Manticore"" and her crew on the Wandering Sea."
65,Obsession,1,4,30,90,14,8.091,16030,3.1,8544,86938,,Post-Napoleonic,https://boardgamegeek.com/boardgame/231733/obsession,"Renovate an estate, manage servants, and pursue romance in Victorian England."
66,Grand Austria Hotel,2,4,60,120,12,7.958,23513,3.2,6886,116284,58.99,Economic,https://boardgamegeek.com/boardgame/182874/grand-austria-hotel,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.
67,Pandemic Legacy: Season 2,2,4,60,60,14,8.019,17815,3.25,4775,128707,79.99,Environmental; Exploration; Medical; Science Fiction,https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,The world is a mystery after a devastating pandemic—where will your team go?
68,Clank!: Catacombs,2,4,45,90,13,8.25,10545,2.5,5632,40883,66.0,Adventure; Fantasy,https://boardgamegeek.com/boardgame/365717/clank-catacombs,Deck-building adventure meets tile-laying in the newest incarnation of Clank!
